Read Number,Lev Distance,Read Depth of this one plus last one,Lev D/Read Depth
52386,9,386,0.023316062176165803
52395,9,422,0.02132701421800948
52420,9,414,0.021739130434782608
52444,9,401,0.022443890274314215
52458,9,434,0.020737327188940093
52470,9,425,0.021176470588235293
52479,9,426,0.02112676056338028
52487,9,426,0.02112676056338028
52504,9,433,0.020785219399538105
52512,9,422,0.02132701421800948
52514,9,422,0.02132701421800948
52525,9,442,0.020361990950226245
52545,9,409,0.022004889975550123
52551,9,406,0.022167487684729065
52583,9,384,0.0234375
52601,9,420,0.02142857142857143
52615,9,395,0.02278481012658228
52619,9,386,0.023316062176165803
52690,9,375,0.024
52695,9,379,0.023746701846965697
52720,9,384,0.0234375
52742,9,384,0.0234375
52743,9,383,0.02349869451697128
52752,9,376,0.023936170212765957
52755,9,376,0.023936170212765957
52756,9,376,0.023936170212765957
52772,9,379,0.023746701846965697
52779,9,314,0.028662420382165606
52784,9,314,0.028662420382165606
52798,9,377,0.023872679045092837
52802,9,381,0.023622047244094488
52813,9,394,0.02284263959390863
52829,9,400,0.0225
52838,9,432,0.020833333333333332
52839,9,430,0.020930232558139535
52859,9,450,0.02
52861,9,448,0.020089285714285716
52862,9,446,0.020179372197309416
52894,9,451,0.019955654101995565
52895,9,450,0.02
52899,9,469,0.019189765458422176
52983,9,548,0.016423357664233577
52990,9,541,0.0166358595194085
53072,9,487,0.018480492813141684
53075,9,494,0.018218623481781375
53076,9,501,0.017964071856287425
53078,9,497,0.018108651911468814
53086,9,508,0.017716535433070866
53093,9,505,0.01782178217821782
53109,9,481,0.018711018711018712
53118,9,448,0.020089285714285716
53139,9,444,0.02027027027027027
53149,9,427,0.02107728337236534
53255,9,405,0.022222222222222223
53277,9,322,0.027950310559006212
53282,9,318,0.02830188679245283
53307,9,345,0.02608695652173913
53309,9,353,0.025495750708215296
53319,9,372,0.024193548387096774
53322,9,377,0.023872679045092837
53327,9,372,0.024193548387096774
53329,9,364,0.024725274725274724
53354,9,396,0.022727272727272728
53375,9,408,0.022058823529411766
53381,9,401,0.022443890274314215
53383,9,387,0.023255813953488372
53388,9,394,0.02284263959390863
53401,9,409,0.022004889975550123
53409,9,474,0.0189873417721519
53447,9,476,0.018907563025210083
53459,9,470,0.019148936170212766
53477,9,456,0.019736842105263157
53516,9,411,0.021897810218978103
53517,9,414,0.021739130434782608
53518,9,415,0.021686746987951807
53521,9,420,0.02142857142857143
53552,9,458,0.019650655021834062
53563,9,398,0.022613065326633167
53604,9,413,0.021791767554479417
53644,9,354,0.025423728813559324
53658,9,443,0.020316027088036117
53684,9,469,0.019189765458422176
53705,9,529,0.017013232514177693
53719,9,556,0.01618705035971223
53739,9,551,0.016333938294010888
53750,9,536,0.016791044776119403
53755,9,490,0.018367346938775512
53762,9,506,0.017786561264822136
53785,9,551,0.016333938294010888
53807,9,492,0.018292682926829267
53809,9,496,0.018145161290322582
53820,9,543,0.016574585635359115
54036,9,413,0.021791767554479417
54156,9,499,0.018036072144288578
54208,9,420,0.02142857142857143
54214,9,419,0.021479713603818614
54269,9,457,0.019693654266958426
54305,9,460,0.01956521739130435
54353,9,389,0.02313624678663239
54359,9,392,0.02295918367346939
54368,9,456,0.019736842105263157
54375,9,482,0.01867219917012448
54380,9,481,0.018711018711018712
54389,9,490,0.018367346938775512
54400,9,506,0.017786561264822136
54418,9,501,0.017964071856287425
54503,9,554,0.016245487364620937
54511,9,580,0.015517241379310345
54543,9,510,0.01764705882352941
54578,9,497,0.018108651911468814
54587,9,499,0.018036072144288578
54588,9,499,0.018036072144288578
54600,9,502,0.017928286852589643
54647,9,434,0.020737327188940093
54648,9,428,0.02102803738317757
54661,9,410,0.02195121951219512
54662,9,408,0.022058823529411766
54672,9,434,0.020737327188940093
54684,9,418,0.0215311004784689
54690,9,418,0.0215311004784689
54692,9,416,0.021634615384615384
54705,9,381,0.023622047244094488
54710,9,377,0.023872679045092837
54715,9,387,0.023255813953488372
54736,9,378,0.023809523809523808
54761,9,428,0.02102803738317757
54811,9,349,0.025787965616045846
54819,9,340,0.026470588235294117
54823,9,286,0.03146853146853147
54825,9,274,0.032846715328467155
54831,9,271,0.033210332103321034
54833,9,261,0.034482758620689655
54835,9,262,0.03435114503816794
54836,9,262,0.03435114503816794
54850,9,280,0.03214285714285714
54851,9,280,0.03214285714285714
54857,9,297,0.030303030303030304
54914,9,180,0.05
54920,9,179,0.05027932960893855
54925,9,180,0.05
54934,9,176,0.05113636363636364
56153,9,86,0.10465116279069768
56599,9,148,0.060810810810810814
56635,9,128,0.0703125
56712,9,134,0.06716417910447761
56720,9,120,0.075
56731,9,126,0.07142857142857142
56780,9,142,0.06338028169014084
56782,9,141,0.06382978723404255
56838,9,127,0.07086614173228346
56882,9,126,0.07142857142857142
56883,9,116,0.07758620689655173
56946,9,96,0.09375
57664,9,76,0.11842105263157894
57848,9,46,0.1956521739130435
59317,9,68,0.1323529411764706
59323,9,69,0.13043478260869565
59390,9,149,0.06040268456375839
59461,9,198,0.045454545454545456
59492,9,168,0.05357142857142857
59517,9,168,0.05357142857142857
59533,9,145,0.06206896551724138
59547,9,128,0.0703125
59548,9,128,0.0703125
59571,9,128,0.0703125
59653,9,119,0.07563025210084033
59681,9,111,0.08108108108108109
59764,9,74,0.12162162162162163
60354,9,155,0.05806451612903226
60444,9,159,0.05660377358490566
60467,9,172,0.05232558139534884
60481,9,187,0.0481283422459893
60491,9,191,0.04712041884816754
60500,9,194,0.04639175257731959
60519,9,221,0.04072398190045249
60532,9,220,0.04090909090909091
60564,9,226,0.03982300884955752
60579,9,250,0.036
60612,9,240,0.0375
60613,9,238,0.037815126050420166
60629,9,257,0.03501945525291829
60659,9,305,0.029508196721311476
60681,9,300,0.03
60693,9,309,0.02912621359223301
60698,9,308,0.02922077922077922
60707,9,302,0.029801324503311258
60729,9,274,0.032846715328467155
60733,9,284,0.03169014084507042
60738,9,310,0.02903225806451613
60751,9,304,0.029605263157894735
60768,9,273,0.03296703296703297
60773,9,267,0.033707865168539325
60780,9,242,0.0371900826446281
60786,9,218,0.04128440366972477
60795,9,224,0.04017857142857143
60814,9,174,0.05172413793103448
60822,9,166,0.05421686746987952
60837,9,204,0.04411764705882353
60840,9,205,0.04390243902439024
60846,9,204,0.04411764705882353
60856,9,199,0.04522613065326633
60861,9,192,0.046875
60879,9,198,0.045454545454545456
60891,9,169,0.05325443786982249
60938,9,134,0.06716417910447761
61103,9,164,0.054878048780487805
61106,9,167,0.05389221556886228
61125,9,148,0.060810810810810814
61174,9,120,0.075
61194,9,112,0.08035714285714286
61208,9,103,0.08737864077669903
61215,9,114,0.07894736842105263
61240,9,108,0.08333333333333333
61310,9,119,0.07563025210084033
61485,9,119,0.07563025210084033
61739,9,120,0.075
61752,9,111,0.08108108108108109
61764,9,105,0.08571428571428572
61787,9,104,0.08653846153846154
61818,9,81,0.1111111111111111
62957,9,48,0.1875
63336,9,86,0.10465116279069768
63337,9,86,0.10465116279069768
63368,9,104,0.08653846153846154
63435,9,127,0.07086614173228346
63484,9,136,0.0661764705882353
63510,9,133,0.06766917293233082
63575,9,105,0.08571428571428572
63607,9,97,0.09278350515463918
64193,9,68,0.1323529411764706
64395,9,91,0.0989010989010989
64478,9,128,0.0703125
64530,9,120,0.075
64652,9,142,0.06338028169014084
64696,9,184,0.04891304347826087
64748,9,194,0.04639175257731959
64751,9,198,0.045454545454545456
64752,9,196,0.04591836734693878
64760,9,201,0.04477611940298507
64786,9,180,0.05
64796,9,164,0.054878048780487805
64814,9,155,0.05806451612903226
64817,9,156,0.057692307692307696
64826,9,138,0.06521739130434782
64852,9,159,0.05660377358490566
64896,9,178,0.05056179775280899
64901,9,174,0.05172413793103448
64929,9,182,0.04945054945054945
64975,9,168,0.05357142857142857
65027,9,141,0.06382978723404255
65125,9,120,0.075
65153,9,131,0.06870229007633588
65186,9,110,0.08181818181818182
65217,9,108,0.08333333333333333
193,8,119,0.06722689075630252
303,8,87,0.09195402298850575
413,8,109,0.07339449541284404
473,8,105,0.0761904761904762
514,8,100,0.08
575,8,106,0.07547169811320754
667,8,121,0.06611570247933884
1015,8,101,0.07920792079207921
1139,8,85,0.09411764705882353
1849,8,53,0.1509433962264151
4038,8,68,0.11764705882352941
4096,8,74,0.10810810810810811
4101,8,70,0.11428571428571428
4179,8,70,0.11428571428571428
4478,8,56,0.14285714285714285
4509,8,56,0.14285714285714285
4570,8,74,0.10810810810810811
4682,8,142,0.056338028169014086
4687,8,147,0.05442176870748299
4726,8,122,0.06557377049180328
4742,8,122,0.06557377049180328
4759,8,109,0.07339449541284404
4817,8,110,0.07272727272727272
4822,8,111,0.07207207207207207
4831,8,104,0.07692307692307693
4838,8,99,0.08080808080808081
4858,8,99,0.08080808080808081
4890,8,92,0.08695652173913043
5681,8,228,0.03508771929824561
5688,8,230,0.034782608695652174
5693,8,235,0.03404255319148936
5696,8,231,0.03463203463203463
5697,8,229,0.034934497816593885
5719,8,170,0.047058823529411764
5751,8,220,0.03636363636363636
5752,8,221,0.03619909502262444
